,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
108,Bob Jones University,1,2606.0,Minimally difficult,86.0,3.20,,,29126.0,,,18150.0,,,6976.0,66.0,13519.0,21153.0
109,Boise Bible College,1,174.0,Minimally difficult,100.0,Not reported,,,,,,,,,,54.0,5470.0,8648.0
110,Boise State University,0,20767.0,Moderately difficult,82.0,3.45,,,,21378.0,37460.0,,7694.0,23776.0,8994.0,60.0,10963.0,27870.0
111,Boricua College,1,1004.0,Moderately difficult,40.0,Not reported,,,,,,,,,,67.0,4987.0,
112,Boston Architectural College,1,472.0,Noncompetitive,15.0,Not reported,,,,,,21894.0,,,,51.0,14481.0,
113,Boston College,1,9377.0,Very difficult,28.0,Not reported,720.0,685.0,69293.0,,,53346.0,,,14142.0,100.0,45393.0,20915.0
114,Boston University,1,18515.0,Very difficult,22.0,3.71,730.0,682.0,75002.0,,,55892.0,,,16160.0,91.0,48893.0,42976.0
115,Bowdoin College,1,1816.0,Most difficult,14.0,Not reported,700.0,695.0,70710.0,,,53922.0,,,14698.0,100.0,50611.0,25482.0
116,Bowie State University,0,4711.0,Minimally difficult,41.0,2.53,,,,23014.0,33654.0,,8234.0,18874.0,10904.0,45.0,93989.0,29433.0
117,Bowling Green State University,0,14858.0,Moderately difficult,72.0,3.40,545.0,558.0,,24913.0,32901.0,,11105.0,19093.0,9168.0,79.0,14441.0,29958.0
118,Bradley University,1,4606.0,Moderately difficult,67.0,3.76,595.0,595.0,48020.0,,,33760.0,,,10620.0,73.0,25327.0,29233.0
119,Brandeis University,1,3639.0,Most difficult,31.0,3.83,715.0,680.0,76141.0,,,57561.0,,,16080.0,94.0,42102.0,29785.0
120,Brandman University,1,,Not reported,79.0,,,,,,,15380.0,,,,,,
121,Brenau University,1,1754.0,Moderately difficult,65.0,3.45,,,47340.0,,,30790.0,,,12500.0,63.0,24066.0,35719.0
122,Brescia University,1,1272.0,Moderately difficult,42.0,3.02,,,38150.0,,,22100.0,,,9350.0,,23315.0,19060.0
123,Brevard College,1,705.0,Minimally difficult,43.0,3.07,,,,,,,,,,61.0,20009.0,28511.0
124,Brewton-Parker College,1,783.0,Minimally difficult,54.0,3.04,485.0,480.0,32259.0,,,18240.0,,,8380.0,73.0,11647.0,28231.0
125,Briar Cliff University,1,1117.0,Moderately difficult,51.0,3.23,,,43426.0,,,29786.0,,,9086.0,30.0,33359.0,29484.0
126,Bridgewater College,1,1839.0,Moderately difficult,66.0,3.49,530.0,548.0,53000.0,,,36600.0,,,12970.0,88.0,35504.0,33744.0
127,Bridgewater State University,0,9504.0,Moderately difficult,90.0,3.13,530.0,540.0,,26561.0,32701.0,,10367.0,16507.0,12750.0,,8677.0,31349.0
128,Brigham Young University,1,31233.0,Moderately difficult,52.0,3.84,650.0,660.0,18776.0,,,5620.0,,,7628.0,30.0,6888.0,15701.0
129,Brigham Young University-Hawaii,1,2555.0,Moderately difficult,58.0,Not reported,,,,,,,,,,75.0,4200.0,12418.0
130,Brigham Young University-Idaho,1,32458.0,Moderately difficult,96.0,Not reported,,,5321.0,,,2023.0,,,2296.0,,,
131,Brown University,1,6926.0,Most difficult,9.0,Not reported,,,73892.0,,,55556.0,,,14670.0,100.0,50237.0,29620.0
132,Bryan College,1,1401.0,Moderately difficult,54.0,3.53,530.0,570.0,34300.0,,,26800.0,,,7500.0,0.0,25023.0,24610.0
133,Bryan College of Health Sciences,1,,Moderately difficult,52.0,Not reported,,,,,,18420.0,,,,,,
134,Bryant University,1,3499.0,Moderately difficult,76.0,3.39,615.0,601.0,64361.0,,,45395.0,,,16016.0,48.0,25611.0,54067.0
135,Bryn Athyn College,1,309.0,Minimally difficult,89.0,3.40,544.0,566.0,37296.0,,,22860.0,,,11886.0,100.0,10547.0,0.0
136,Bryn Mawr College,1,1334.0,Most difficult,38.0,Not reported,715.0,688.0,71310.0,,,52360.0,,,16500.0,100.0,50552.0,25682.0
137,Bucknell University,1,3597.0,Most difficult,33.0,3.56,680.0,657.0,75800.0,,,58196.0,,,14174.0,92.0,37500.0,31087.0
138,Buena Vista University,1,732.0,Moderately difficult,57.0,3.40,,,45066.0,,,35194.0,,,9872.0,87.0,32806.0,38938.0
139,Buffalo State College,0,8572.0,Moderately difficult,60.0,3.10,480.0,490.0,,22260.0,32040.0,,8210.0,17990.0,14050.0,,,26495.0
140,Butler University,1,4698.0,Moderately difficult,68.0,3.86,625.0,622.0,61950.0,,,42360.0,,,15540.0,64.0,26289.0,38191.0
141,Cabarrus College of Health Sciences,1,443.0,Moderately difficult,100.0,Not reported,,,,,,13044.0,,,,,,
142,Cabrini University,1,1650.0,Moderately difficult,71.0,3.06,,,44186.0,,,31920.0,,,12266.0,,17185.0,43437.0
143,Cairn University,1,762.0,Moderately difficult,99.0,3.31,490.0,542.0,40611.0,,,27279.0,,,10294.0,79.0,24301.0,35717.0
144,Caldwell University,1,1646.0,Moderately difficult,67.0,3.26,529.5,530.0,53255.0,,,35940.0,,,12415.0,84.0,34995.0,31762.0
145,California Baptist University,1,7414.0,Moderately difficult,77.0,3.60,535.0,550.0,51106.0,,,33478.0,,,12160.0,68.0,25704.0,39544.0
146,California College of the Arts,1,1528.0,Moderately difficult,70.0,3.34,,,67084.0,,,49148.0,,,,72.0,39927.0,33190.0
147,California Institute of Integral Studies,1,50.0,Minimally difficult,,Not reported,,,,,,20222.0,,,,,,
148,California Institute of Technology,1,948.0,Most difficult,7.0,Not reported,795.0,760.0,75263.0,,,54600.0,,,16644.0,100.0,48783.0,16337.0
149,California Institute of the Arts,1,949.0,Very difficult,25.0,Not reported,,,,,,49276.0,,,,75.0,35000.0,31293.0
150,California Lutheran University,1,3059.0,Moderately difficult,71.0,3.70,,,64217.0,,,44383.0,,,14100.0,83.0,37400.0,34220.0
151,California State University Channel Islands,0,3342.0,Noncompetitive,53.0,3.22,,,,,,,,,,,,
152,California State University San Marcos,0,13962.0,Moderately difficult,58.0,3.38,552.5,545.0,,24017.0,33521.0,,5742.0,15246.0,13227.0,57.0,11111.0,24304.0
153,California University of Pennsylvania,0,5174.0,Moderately difficult,97.0,3.16,510.0,524.0,,,,,,,10186.0,54.0,9921.0,27381.0
154,Calvin College,1,3625.0,Moderately difficult,79.0,3.80,635.0,625.0,50900.0,,,36300.0,,,10600.0,76.0,25639.0,29768.0
155,Cambridge College,1,1090.0,Noncompetitive,64.0,Not reported,,,,,,14940.0,,,,42.0,4646.0,
156,Cameron University,0,3944.0,Noncompetitive,100.0,3.18,,,,16162.0,25582.0,,6450.0,15870.0,5452.0,53.0,8280.0,24633.0
157,Campbell University,1,2934.0,Moderately difficult,60.0,3.40,,,43710.0,,,32500.0,,,11210.0,79.0,29690.0,29975.0
158,Campbellsville University,1,5139.0,Moderately difficult,83.0,3.26,541.5,505.0,39586.0,,,25400.0,,,8000.0,73.0,23210.0,21912.0
159,Canisius College,1,2256.0,Moderately difficult,79.0,90,580.0,578.0,43344.0,,,29428.0,,,11416.0,80.0,24033.0,34561.0
160,Capital University,1,2699.0,Moderately difficult,69.0,3.57,572.5,594.0,50056.0,,,35466.0,,,10584.0,87.0,31106.0,33496.0
161,Cardinal Stritch University,1,1543.0,Moderately difficult,78.0,3.16,529.0,503.0,38622.0,,,29998.0,,,8624.0,82.0,29227.0,28270.0
162,Carleton College,1,2078.0,Very difficult,21.0,Not reported,725.0,720.0,71300.0,,,54759.0,,,14085.0,100.0,49191.0,21020.0
163,Carlow University,1,1365.0,Minimally difficult,91.0,3.49,480.0,505.0,43186.0,,,28596.0,,,11108.0,72.0,24313.0,
164,Carnegie Mellon University,1,6947.0,Most difficult,17.0,3.84,775.0,725.0,74491.0,,,57119.0,,,14972.0,97.0,46590.0,27818.0
165,Carroll College,1,1352.0,Moderately difficult,71.0,3.60,,,49916.0,,,35486.0,,,9980.0,81.0,26295.0,30794.0
166,Carroll University,1,2981.0,Moderately difficult,71.0,Not reported,,,45630.0,,,31918.0,,,9896.0,88.0,23273.0,35997.0
167,Carson-Newman University,1,1774.0,Moderately difficult,66.0,3.47,525.0,548.0,41320.0,,,27900.0,,,8810.0,80.0,24299.0,24557.0
168,Carthage College,1,2776.0,Moderately difficult,68.0,3.30,575.0,560.0,105900.0,,,90200.0,,,11600.0,80.0,38981.0,54496.0
169,Case Western Reserve University,1,5150.0,Very difficult,33.0,Not reported,735.0,695.0,67887.0,,,49042.0,,,15190.0,100.0,45387.0,31820.0
170,Catawba College,1,1325.0,Moderately difficult,42.0,3.75,,,45842.0,,,30520.0,,,10488.0,77.0,27707.0,29836.0
171,Cazenovia College,1,893.0,Minimally difficult,92.0,3.20,496.5,514.0,50894.0,,,34630.0,,,13964.0,89.0,35469.0,35863.0
172,Cedar Crest College,1,1433.0,Moderately difficult,63.0,3.44,515.0,540.0,53610.0,,,39216.0,,,11544.0,81.0,32533.0,39389.0
173,Cedarville University,1,3759.0,Moderately difficult,79.0,3.84,610.0,632.0,42664.0,,,31322.0,,,7618.0,21.0,23238.0,23822.0
174,Centenary College of Louisiana,1,552.0,Moderately difficult,60.0,3.54,565.0,570.0,55750.0,,,37310.0,,,13670.0,78.0,33380.0,27359.0
175,Centenary University,1,1518.0,Moderately difficult,88.0,Not reported,,,44442.0,,,32998.0,,,11444.0,73.0,22333.0,25019.0
176,Central Baptist College,1,832.0,Minimally difficult,62.0,Not reported,,,23700.0,,,16200.0,,,7500.0,,,
177,Central Christian College of Kansas,1,466.0,Minimally difficult,99.0,3.27,,,35060.0,,,28700.0,,,6360.0,78.0,13067.0,20000.0
178,Central Christian College of the Bible,1,417.0,Noncompetitive,65.0,Not reported,,,20700.0,,,14100.0,,,6600.0,,,
179,Central College,1,1274.0,Moderately difficult,64.0,3.56,,,47555.0,,,37275.0,,,10280.0,83.0,33519.0,36854.0
180,Central Connecticut State University,0,9546.0,Moderately difficult,67.0,3.07,530.0,545.0,,26861.0,38663.0,,11068.0,22870.0,12528.0,65.0,9025.0,29728.0
181,Central Methodist University,1,1060.0,Moderately difficult,63.0,3.50,,,38900.0,,,24420.0,,,7940.0,76.0,21033.0,30798.0
182,Central Michigan University,0,16432.0,Moderately difficult,69.0,3.41,540.0,559.0,,24076.0,35236.0,,12510.0,23670.0,9736.0,83.0,15050.0,32453.0
183,Central Penn College,1,1196.0,Minimally difficult,79.0,Not reported,,,28930.0,,,18714.0,,,7416.0,,,
184,Central State University,0,2099.0,Minimally difficult,57.0,2.70,,,,16578.0,18578.0,,6346.0,8346.0,10232.0,5.0,8934.0,
185,Central Washington University,0,14427.0,Moderately difficult,64.0,3.06,510.0,521.0,,24441.0,39422.0,,7361.0,22342.0,13066.0,60.0,10448.0,22900.0
186,Centre College,1,1450.0,Very difficult,76.0,3.63,655.0,635.0,55420.0,,,41700.0,,,10480.0,89.0,36992.0,26313.0
187,Chadron State College,0,2199.0,Noncompetitive,,Not reported,,,,,,,,,,,2406.0,11000.0
188,Chaminade University of Honolulu,1,1157.0,Moderately difficult,91.0,3.42,,,43125.0,,,25374.0,,,13630.0,71.0,22202.0,23933.0
189,Champlain College,1,2129.0,Moderately difficult,75.0,3.40,580.0,605.0,61012.0,,,41828.0,,,15766.0,71.0,29394.0,35383.0
190,Chapman University,1,7020.0,Very difficult,57.0,3.72,635.0,637.0,73182.0,,,52724.0,,,15828.0,76.0,30257.0,28374.0
191,Charleston Southern University,1,3062.0,Moderately difficult,56.0,Not reported,515.0,535.0,39930.0,,,24830.0,,,9900.0,81.0,16210.0,20252.0
192,Chatham University,1,1208.0,Moderately difficult,55.0,3.67,555.0,587.0,52132.0,,,37611.0,,,12090.0,68.0,34692.0,35817.0
193,Chestnut Hill College,1,1364.0,Moderately difficult,96.0,3.20,520.0,535.0,47655.0,,,36180.0,,,11000.0,66.0,27947.0,32278.0
194,Cheyney University of Pennsylvania,0,997.0,Minimally difficult,85.0,2.37,,,,21999.0,27015.0,,10533.0,15549.0,11466.0,87.0,10675.0,21000.0
195,Chicago State University,0,3912.0,Minimally difficult,30.0,3.03,,,,26541.0,35047.0,,11902.0,20408.0,8724.0,42.0,11457.0,29731.0
196,Chowan University,1,1498.0,Minimally difficult,60.0,2.66,432.5,377.0,35380.0,,,24980.0,,,9400.0,67.0,22068.0,35882.0
197,Christian Brothers University,1,1590.0,Moderately difficult,56.0,3.69,,,44026.0,,,32820.0,,,7400.0,75.0,28298.0,36886.0
198,Christopher Newport University,0,4857.0,Moderately difficult,68.0,3.81,585.0,613.0,,31102.0,43568.0,,14754.0,27220.0,11460.0,68.0,8395.0,31767.0
199,Cincinnati Christian University,1,620.0,Minimally difficult,59.0,3.14,,,25588.0,,,17228.0,,,8360.0,60.0,12827.0,25089.0
200,City University of Seattle,1,1035.0,Noncompetitive,100.0,Not reported,,,,,,,,,,,,
201,Claflin University,1,1836.0,Minimally difficult,60.0,3.28,,,25966.0,,,16672.0,,,9294.0,48.0,17003.0,31747.0
202,Claremont McKenna College,1,1324.0,Most difficult,9.0,Not reported,725.0,697.0,73775.0,,,56475.0,,,17300.0,100.0,59734.0,19355.0
203,Clarion University of Pennsylvania,0,3942.0,Minimally difficult,94.0,3.40,,526.0,,28425.0,32283.0,,11175.0,15033.0,12670.0,51.0,11137.0,36800.0
204,Clark Atlanta University,1,3302.0,Moderately difficult,58.0,3.24,485.0,509.0,31710.0,,,22186.0,,,9524.0,48.0,7742.0,40393.0
