,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
191,Buffalo State College,0.0,30574,Most difficult,17,3.91,715.0,700.0,,22260.0,32040.0,,8210.0,17990.0,14050,Not reported,Not reported,26495
192,Butler University,1.0,30574,Most difficult,17,3.91,715.0,700.0,61950,,,42360,,,15540,64,26289,38191
193,Cabarrus College of Health Sciences,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,13044,,,Not reported,Not reported,Not reported,Not reported
194,Cabrini University,1.0,30574,Most difficult,17,3.91,715.0,700.0,44186,,,31920,,,12266,Not reported,17185,43437
195,Cairn University,1.0,30574,Most difficult,17,3.91,715.0,700.0,40611,,,27279,,,10294,79,24301,35717
196,Caldwell University,1.0,30574,Most difficult,17,3.91,715.0,700.0,53255,,,35940,,,12415,84,34995,31762
197,California Baptist University,1.0,30574,Most difficult,17,3.91,715.0,700.0,51106,,,33478,,,12160,68,25704,39544
198,California College of the Arts,1.0,30574,Most difficult,17,3.91,715.0,700.0,67084,,,49148,,,Not reported,72,39927,33190
199,California Institute of Integral Studies,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,20222,,,Not reported,Not reported,Not reported,Not reported
200,California Institute of Technology,1.0,30574,Most difficult,17,3.91,715.0,700.0,75263,,,54600,,,16644,100,48783,16337
201,California Institute of the Arts,1.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,49276,,,Not reported,75,35000,31293
202,California Lutheran University,1.0,30574,Most difficult,17,3.91,715.0,700.0,64217,,,44383,,,14100,83,37400,34220
203,"California Polytechnic State University, San Luis Obispo",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
204,"California State Polytechnic University, Pomona",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
205,California State University Channel Islands,0.0,30574,Most difficult,17,3.91,715.0,700.0,Not available,,,Not reported,,,Not reported,Not reported,Not reported,Not reported
206,California State University Maritime Academy,,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
207,California State University San Marcos,0.0,30574,Most difficult,17,3.91,715.0,700.0,,24017.0,33521.0,,5742.0,15246.0,13227,57,11111,24304
208,"California State University, Bakersfield",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
209,"California State University, Chico",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
210,"California State University, Dominguez Hills",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
211,"California State University, East Bay",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
212,"California State University, Fresno",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
213,"California State University, Fullerton",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
214,"California State University, Long Beach",,30574,Most difficult,17,3.91,715.0,700.0,,,,,,,,,,
